month,ccaa,operator,power_kW,band,usagecost_original,parsed,reason
2025-09,Castilla y León,,2.3,AC,,,empty
2025-09,Castilla y León,,30.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Castilla y León,,7.0,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,150.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Castilla y León,,50.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Castilla y León,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Castilla y León,,22.0,AC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh + parking fee",0.38,ok
2025-09,Castilla y León,,50.0,DC,"0,39€/kWh",0.39,ok
2025-09,Castilla y León,,50.0,DC,"0,39€/kWh",0.39,ok
2025-09,Castilla y León,,,,,,empty
2025-09,Castilla y León,,100.0,DC,"0,56€/kWh 150kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-09,Castilla y León,,50.0,DC,"0,56€/kWh 150kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-09,Castilla y León,,22.0,AC,"0,56€/kWh 150kW - 0,42€/kWh 50 kW - 0,38€/kWh AC",0.56,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh ",0.25,ok
2025-09,Castilla y León,,22.0,AC,"0,22€/kWh",0.22,ok
2025-09,Castilla y León,,17.0,AC,,,empty
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,11.0,AC,"0,45€/kWh",0.45,ok
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,7.3,AC,Free,,free
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh DC - 0,30€/kWh AC",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh DC - 0,30€/kWh AC",0.45,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh DC - 0,30€/kWh AC",0.45,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,2.3,AC,,,empty
2025-09,Castilla y León,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Castilla y León,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,7.4,AC,"parking fee + 0,39€/kWh",0.39,ok
2025-09,Castilla y León,,7.4,AC,"0,13-0,21€/kWh",0.21,ok
2025-09,Castilla y León,,3.6,AC,"0,13-0,21€/kWh",0.21,ok
2025-09,Castilla y León,,3.6,AC,"0,29€/kWh",0.29,ok
2025-09,Castilla y León,,7.4,AC,free,,free
2025-09,Castilla y León,,50.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Castilla y León,,50.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Castilla y León,,43.0,DC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Castilla y León,,22.0,AC," 0,49€/kWh DC - 0,39€/kWh AC ",0.49,ok
2025-09,Castilla y León,,100.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Castilla y León,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Castilla y León,,50.0,DC,"0,54€/kWh 80-200kW - 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Castilla y León,,22.0,AC,"0,54€/kWh 80-200kW - 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.54,ok
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,7.4,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,60.0,DC," 0,47€/kWh DC - 0,38€/kWh AC",0.47,ok
2025-09,Castilla y León,,60.0,DC," 0,47€/kWh DC - 0,38€/kWh AC",0.47,ok
2025-09,Castilla y León,,22.0,AC," 0,47€/kWh DC - 0,38€/kWh AC",0.47,ok
2025-09,Castilla y León,,120.0,DC," 0,47€/kWh DC - 0,38€/kWh AC",0.47,ok
2025-09,Castilla y León,,80.0,DC," 0,47€/kWh DC - 0,38€/kWh AC",0.47,ok
2025-09,Castilla y León,,22.0,AC," 0,47€/kWh DC - 0,38€/kWh AC",0.47,ok
2025-09,Castilla y León,,3.7,AC," 0,47€/kWh DC - 0,38€/kWh AC",0.47,ok
2025-09,Castilla y León,,120.0,DC,"0,55€/kWh DC- 0,39€/kWh AC + parking fee",0.55,ok
2025-09,Castilla y León,,50.0,DC," 0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Castilla y León,,50.0,DC," 0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Castilla y León,,43.0,DC," 0,42€/kWh 50 kW - 0,38€/kWh AC",0.42,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh",0.45,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Castilla y León,,7.4,AC,"0,32€/kWh",0.32,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,7.0,AC,"0,39€/kWh AC ",0.39,ok
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Castilla y León,,7.4,AC,free,,free
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh ",0.25,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,50.0,DC,"0,50€/kWh DC - 0,40€/kWh AC ",0.5,ok
2025-09,Castilla y León,,50.0,DC,"0,50€/kWh DC - 0,40€/kWh AC ",0.5,ok
2025-09,Castilla y León,,22.0,AC,"0,50€/kWh DC - 0,40€/kWh AC ",0.5,ok
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Castilla y León,,50.0,DC,,,empty
2025-09,Castilla y León,,50.0,DC,,,empty
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,50.0,DC,"0,50€/kWh DC - 0,40€/kWh AC ",0.5,ok
2025-09,Castilla y León,,50.0,DC,"0,50€/kWh DC - 0,40€/kWh AC ",0.5,ok
2025-09,Castilla y León,,22.0,AC,"0,50€/kWh DC - 0,40€/kWh AC ",0.5,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,50.0,DC,,,empty
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,22.0,AC,"0,40€/kWh",0.4,ok
2025-09,Castilla y León,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Castilla y León,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Castilla y León,,22.0,AC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Castilla y León,,11.0,AC,Free,,free
2025-09,Castilla y León,,2.3,AC,,,empty
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,7.4,AC,"0,38€/kWh + parking fee",0.38,ok
2025-09,Castilla y León,,7.4,AC,"0,16€/kWh",0.16,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,120.0,DC,"0,45 €/kWh",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45 €/kWh",0.45,ok
2025-09,Castilla y León,,11.0,AC,Free,,free
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,60.0,DC,"0,48€/kWh",0.48,ok
2025-09,Castilla y León,,50.0,DC,"0,53 €/kwh",0.53,ok
2025-09,Castilla y León,,22.0,AC,"0,53 €/kwh",0.53,ok
2025-09,Castilla y León,,50.0,DC,"0,53 €/kwh",0.53,ok
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,7.4,AC,"0,35€/kWh",0.35,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,,,Free,,free
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,300.0,DC,"0,59€/kWh",0.59,ok
2025-09,Castilla y León,,80.0,DC,"0,59€/kWh",0.59,ok
2025-09,Castilla y León,,100.0,DC,"0,60€/kWh",0.6,ok
2025-09,Castilla y León,,22.0,AC,"0,30€/kWh",0.3,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,30€/kWh",0.3,ok
2025-09,Castilla y León,,7.4,AC,"0,16€/kWh",0.16,ok
2025-09,Castilla y León,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Castilla y León,,150.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Castilla y León,,7.4,AC,free,,free
2025-09,Castilla y León,,3.7,AC,free,,free
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh",0.38,ok
2025-09,Castilla y León,,150.0,DC,"0,54€/kWh",0.54,ok
2025-09,Castilla y León,,50.0,DC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,7.4,AC,"0,59€/kWh DC - 0,38€/kWh AC",0.59,ok
2025-09,Castilla y León,,150.0,DC,"0,59€/kWh DC - 0,38€/kWh AC",0.59,ok
2025-09,Castilla y León,,100.0,DC,"0.50€/kWh >60kW - 0,39€/kWh DC - 0,32€/kWh AC",0.5,ok
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,300.0,DC,"0,49€/kWh",0.49,ok
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,"0,50€/kWh + parking fee ",0.5,ok
2025-09,Castilla y León,,11.0,AC,parking fee (10€),,no_kwh
2025-09,Castilla y León,,3.7,AC,"0,20€/kWh + parking fee 2€/hour",0.2,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,22.0,AC,"0,56€/kWh DC - 0,38€/kWh AC",0.56,ok
2025-09,Castilla y León,,100.0,DC,"0,56€/kWh DC - 0,38€/kWh AC",0.56,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,22.0,AC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,20.0,AC,Free,,free
2025-09,Castilla y León,,20.0,AC,Free,,free
2025-09,Castilla y León,,,,Free,,free
2025-09,Castilla y León,,11.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Castilla y León,,22.0,AC," 0,39€/kWh ",0.39,ok
2025-09,Castilla y León,,22.0,AC,"0,55€/kWh DC - 0,31€/kWh AC",0.55,ok
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh +  parking fee",0.38,ok
2025-09,Castilla y León,,7.4,AC,"0,38€/kWh +  parking fee",0.38,ok
2025-09,Castilla y León,,11.0,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,150.0,DC,0.59€/kWh,0.59,ok
2025-09,Castilla y León,,50.0,DC,"0,60 €/kWh",0.6,ok
2025-09,Castilla y León,,50.0,DC,"0,60 €/kWh",0.6,ok
2025-09,Castilla y León,,120.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Castilla y León,,150.0,DC,0.59€/kWh,0.59,ok
2025-09,Castilla y León,,7.4,AC,,,no_kwh
2025-09,Castilla y León,,11.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,7.4,AC,,,no_kwh
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,50.0,DC,"0,46€/kWh",0.46,ok
2025-09,Castilla y León,,50.0,DC,"0,46€/kWh",0.46,ok
2025-09,Castilla y León,,22.0,AC,"0,46€/kWh",0.46,ok
2025-09,Castilla y León,,150.0,DC,"0,60€/kWh",0.6,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,60.0,DC,"  0,45€/kWh DC - 0,40€/kWh AC ",0.45,ok
2025-09,Castilla y León,,22.0,AC,"  0,45€/kWh DC - 0,40€/kWh AC ",0.45,ok
2025-09,Castilla y León,,360.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Castilla y León,,360.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Castilla y León,,360.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Castilla y León,,360.0,DC,"0,55€/kWh DC ",0.55,ok
2025-09,Castilla y León,,22.0,AC,"0,10€/kWh",0.1,ok
2025-09,Castilla y León,,2.3,AC,,,empty
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,3.7,AC,free,,free
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,22.0,AC,parking fee,,no_kwh
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,11.0,AC,"0,30€/kWh + parking fee",0.3,ok
2025-09,Castilla y León,,11.0,AC,"0,30€/kWh + parking fee",0.3,ok
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,60.0,DC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-09,Castilla y León,,22.0,AC,"0,43€/kWh DC - 0,32€/kWh AC",0.43,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,60.0,DC,"0,50€/kWh DC ",0.5,ok
2025-09,Castilla y León,,11.0,AC,"0,30€/kWh + parking fee",0.3,ok
2025-09,Castilla y León,,22.0,AC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Castilla y León,,60.0,DC,"0,39€/kWh DC - 0,29€/kWh AC",0.39,ok
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh DC",0.45,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh DC",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh DC",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,7.4,AC,"0,39€/kWh",0.39,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,50.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,43.0,DC,"0,47€/kWh ",0.47,ok
2025-09,Castilla y León,,60.0,DC,"0,20€/kWh",0.2,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,50.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,43.0,DC,0.47€/kWh ,0.47,ok
2025-09,Castilla y León,,150.0,DC,,,no_kwh
2025-09,Castilla y León,,150.0,DC,"0,58€/kWh DC >60kW (0,40€/min parked without charging)",0.58,ok
2025-09,Castilla y León,,3.7,AC,"0,39€/kWh + parking fee",0.39,ok
2025-09,Castilla y León,,7.4,AC,"0,35€/kW",,no_kwh
2025-09,Castilla y León,,15.0,AC,,,no_kwh
2025-09,Castilla y León,,15.0,AC,,,no_kwh
2025-09,Castilla y León,,7.4,AC,,,no_kwh
2025-09,Castilla y León,,300.0,DC,"0,49€/kWh",0.49,ok
2025-09,Castilla y León,,7.4,AC,free,,free
2025-09,Castilla y León,,7.4,AC,,,no_kwh
2025-09,Castilla y León,,60.0,DC,"0,30€/kWh",0.3,ok
2025-09,Castilla y León,,3.7,AC,,,no_kwh
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,7.4,AC,free,,free
2025-09,Castilla y León,,7.4,AC,free,,free
2025-09,Castilla y León,,7.4,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,7.4,AC," 0,54€/kWh 80-200kW - 0,45€/kWh DC50kW - 0,39€/kWh  AC",0.54,ok
2025-09,Castilla y León,,150.0,DC," 0,54€/kWh 80-200kW - 0,45€/kWh DC50kW - 0,39€/kWh  AC",0.54,ok
2025-09,Castilla y León,,150.0,DC," 0,54€/kWh 80-200kW - 0,45€/kWh DC50kW - 0,39€/kWh  AC",0.54,ok
2025-09,Castilla y León,,50.0,DC," 0,54€/kWh 80-200kW - 0,45€/kWh DC50kW - 0,39€/kWh  AC",0.54,ok
2025-09,Castilla y León,,50.0,DC," 0,54€/kWh 80-200kW - 0,45€/kWh DC50kW - 0,39€/kWh  AC",0.54,ok
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,11.0,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,50.0,DC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,50.0,DC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,43.0,DC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh ",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh ",0.45,ok
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,2.3,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,"0,39€/kWh",0.39,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,7.4,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Castilla y León,,60.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,150.0,DC,0.59€/kWh,0.59,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Castilla y León,,120.0,DC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh DC - 0,39€/kWh AC",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh AC - (0,03€/min parked without charging)",0.38,ok
2025-09,Castilla y León,,7.4,AC,free,,free
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,11.0,AC,,,no_kwh
2025-09,Castilla y León,,60.0,DC,"0,30€/kWh",0.3,ok
2025-09,Castilla y León,,2.3,AC,,,no_kwh
2025-09,Castilla y León,,50.0,DC,"€0,47/kWh",,no_kwh
2025-09,Castilla y León,,50.0,DC,"€0,47/kWh",,no_kwh
2025-09,Castilla y León,,43.65,DC,"€0,47/kWh",,no_kwh
2025-09,Castilla y León,,60.0,DC,"0,5€/kWh",0.5,ok
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,"0,38€/kWh",0.38,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,22.0,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,7.0,AC,"0,39€/kWh AC ",0.39,ok
2025-09,Castilla y León,,22.0,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,11.0,AC,"0,16€/kw más IVA",,no_kwh
2025-09,Castilla y León,,150.0,DC," 0,55€/kWh DC - 0,40€/kWh AC ",0.55,ok
2025-09,Castilla y León,,22.0,AC," 0,55€/kWh DC - 0,40€/kWh AC ",0.55,ok
2025-09,Castilla y León,,400.0,DC,,,empty
2025-09,Castilla y León,,400.0,DC,,,empty
2025-09,Castilla y León,,7.4,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,180.0,DC,"0,40€/kWh ",0.4,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,25€/kWh",0.25,ok
2025-09,Castilla y León,,11.0,AC,,,empty
2025-09,Castilla y León,,7.4,AC,,,empty
2025-09,Castilla y León,,180.0,DC,"0,54€/kWh DC >80kW - 0,42€/kWh DC - 0,35kWh AC",0.54,ok
2025-09,Castilla y León,,22.0,AC,"0,54€/kWh DC >80kW - 0,42€/kWh DC - 0,35kWh AC",0.54,ok
2025-09,Castilla y León,,7.4,AC,"0,42€/kWh (0,05€/min parked without charging)",0.42,ok
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,3.7,AC,,,no_kwh
2025-09,Castilla y León,,150.0,DC,0.59€/kWh,0.59,ok
2025-09,Castilla y León,,60.0,DC,"0,20€/kWh",0.2,ok
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,3.7,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,3.7,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,3.7,AC,,,no_kwh
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,3.7,AC,,,empty
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Castilla y León,,50.0,DC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Castilla y León,,22.0,AC,"0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
2025-09,Castilla y León,,100.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Castilla y León,,100.0,DC,0.52€/kWh DC - 0.47€/kWh AC,0.52,ok
2025-09,Castilla y León,,150.0,DC,"0,65€/kWh >150kW - 0,55€/kWh >60kW - 0,45€/kWh DC - 0,39€/kWh AC ",0.65,ok
2025-09,Castilla y León,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Castilla y León,,50.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Castilla y León,,43.0,DC,"0,50€/kWh DC - 0,45€/kWh AC",0.5,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,22.0,AC,,,no_kwh
2025-09,Castilla y León,,60.0,DC,"0,40€/kWh",0.4,ok
2025-09,Castilla y León,,22.0,AC,,,empty
2025-09,Castilla y León,,50.0,DC,"0,39€/kWh",0.39,ok
2025-09,Castilla y León,,50.0,DC,"0,39€/kWh",0.39,ok
2025-09,Castilla y León,,22.0,AC,"app Waylet(Repsol). 90' free parking, then at 0,07€/min",,per_minute
2025-09,Castilla y León,,60.0,DC,"0,42€/kWh DC - 0,39€/kWh AC",0.42,ok
2025-09,Castilla y León,,22.0,AC,"0,42€/kWh DC - 0,39€/kWh AC",0.42,ok
2025-09,Castilla y León,,3.7,AC,,,no_kwh
2025-09,Castilla y León,,400.0,DC,"0,65€/kWh (or subscription rates) ",0.65,ok
2025-09,Castilla y León,,180.0,DC,"0,46€/kWh",0.46,ok
2025-09,Castilla y León,,50.0,DC," 0,45€/kWh DC50kW/AC43kW - 0,39€/kWh 22kW AC",0.45,ok
